#plate,mjd,fiberid,run2d,specobj_id,ra,dec,sn_median_r,z,zerr,zwarning,class,subclass
'266','51630','1','26','299489677444933632',146.71421,-1.041304,47.56,0.021222,9e-06,'0','GALAXY','STARFORMING'
'266','51630','2','26','299489952322840576',146.74413,-0.652191,12.96,0.203783,3.9e-05,'0','GALAXY',''
'266','51630','4','26','299490502078654464',146.62857,-0.765137,24.57,0.064656,2.1e-05,'0','GALAXY','STARFORMING'
'266','51630','6','26','299491051834468352',146.63167,-0.988278,10.39,0.052654,9e-06,'0','GALAXY','STARFORMING'
'266','51630','7','26','299491326712375296',146.91945,-0.990492,10.65,0.213861,4e-05,'0','GALAXY',''
'266','51630','9','26','299491876468189184',146.76339,-0.810433,4.33,0.44822,0.000107,'0','GALAXY',''
'266','51630','10','26','299492151346096128',146.62282,-0.951385,8.59,0.371128,6.9e-05,'0','GALAXY',''
'266','51630','11','26','299492426224003072',146.9341,-0.670404,24.83,0.12127,2.8e-05,'0','GALAXY',''
'266','51630','13','26','299492975979816960',146.9635,-0.759352,18.2,0.097086,2.9e-05,'0','GALAXY',''
'266','51630','16','26','299493800613537792',146.85983,-0.808902,14.29,0.12659,4.9e-05,'0','GALAXY',''
'266','51630','17','26','299494075491444736',146.59272,-0.760256,20.78,0.064959,9e-06,'0','GALAXY','STARFORMING'
'266','51630','18','26','299494350369351680',146.8577,-0.662852,6.12,0.084292,2.6e-05,'0','GALAXY',''
'266','51630','19','26','299494625247258624',146.72794,-0.55688,22.51,0.089312,2.8e-05,'0','GALAXY',''
'266','51630','20','26','299494900125165568',146.60721,-1.240753,21.6,0.090602,2.6e-05,'0','GALAXY',''
'266','51630','22','26','299495449880979456',147.18679,-0.493813,19.04,0.090317,2.5e-05,'0','GALAXY',''
'266','51630','23','26','299495724758886400',147.02336,-0.160094,10.07,0.215669,4.3e-05,'0','GALAXY',''
'266','51630','24','26','299495999636793344',146.9108,-0.074559,8.99,0.242001,8.9e-05,'0','GALAXY',''
'266','51630','25','26','299496274514700288',146.95607,-0.3423,17.8,0.13468,3.1e-05,'0','GALAXY','STARFORMING'
'266','51630','27','26','299496824270514176',147.17639,-0.354057,15.49,0.006283,7e-06,'0','GALAXY','STARFORMING'
'266','51630','28','26','299497099148421120',147.11461,-0.165218,16.28,0.204057,3.9e-05,'0','GALAXY',''
'266','51630','30','26','299497648904235008',147.22569,-0.292621,14.24,0.133635,3.4e-05,'0','GALAXY',''
'266','51630','33','26','299498473537955840',147.24805,-0.035724,24.77,0.084197,2.5e-05,'0','GALAXY',''
'266','51630','34','26','299498748415862784',146.92403,-0.105143,6.95,0.327572,8.6e-05,'0','GALAXY',''
'266','51630','35','26','299499023293769728',146.9201,-0.306462,11.67,0.13148,4.5e-05,'0','GALAXY',''
'266','51630','36','26','299499298171676672',147.32951,0.028903,34.17,0.048086,1e-05,'0','GALAXY','STARFORMING'
'266','51630','39','26','299500122805397504',147.08969,-0.266509,6.18,0.382936,0.000103,'0','GALAXY',''
'266','51630','41','26','299500672561211392',146.57134,-0.957211,22.55,0.065183,9e-06,'0','GALAXY','STARFORMING'
'266','51630','42','26','299500947439118336',146.56561,-1.084742,26.73,0.097556,1.7e-05,'0','GALAXY','BROADLINE'
'266','51630','44','26','299501497194932224',146.30548,-1.130551,12.33,0.154813,8e-06,'0','GALAXY','STARBURST'
'266','51630','45','26','299501772072839168',146.36033,-0.816657,25.35,0.127409,2.1e-05,'0','GALAXY','BROADLINE'
'266','51630','47','26','299502321828653056',146.43281,-0.987378,22.82,0.140472,2.6e-05,'0','GALAXY',''
'266','51630','50','26','299503146462373888',146.32349,-1.180836,24.09,0.089263,2.1e-05,'0','GALAXY',''
'266','51630','51','26','299503421340280832',146.51283,-0.845765,32.02,0.064902,4e-06,'0','GALAXY','STARFORMING'
'266','51630','52','26','299503696218187776',146.31179,-0.813209,15.8,0.205838,3.6e-05,'0','GALAXY',''
'266','51630','54','26','299504245974001664',146.44831,-0.7134,22.39,0.114679,8e-06,'0','GALAXY',''
'266','51630','55','26','299504520851908608',146.57273,-1.060836,21.83,0.060614,1.4e-05,'0','GALAXY','STARFORMING'
'266','51630','60','26','299505895241443328',146.36894,-0.668247,11.94,0.271195,5.4e-05,'0','GALAXY',''
'266','51630','61','26','299506170119350272',146.85757,-0.218776,17.63,0.124612,3.4e-05,'0','GALAXY',''
'266','51630','62','26','299506444997257216',146.90125,-0.413157,28.13,0.056548,1.5e-05,'0','GALAXY','STARFORMING'
'266','51630','63','26','299506719875164160',146.84292,-0.390935,3.3,0.454208,0.000192,'0','GALAXY',''
'266','51630','65','26','299507269630978048',146.86816,-0.486793,6.46,0.083268,2.1e-05,'0','GALAXY',''
'266','51630','66','26','299507544508884992',146.86432,-0.464072,18.89,0.06511,8e-06,'0','GALAXY','STARFORMING'
'266','51630','67','26','299507819386791936',146.78847,-0.310658,4.58,0.056562,1.5e-05,'0','GALAXY','STARFORMING'
'266','51630','69','26','299508369142605824',146.89158,-0.512662,14.73,0.083893,1.3e-05,'0','GALAXY',''
'266','51630','70','26','299508644020512768',146.8833,-0.494699,27.41,0.083766,1.4e-05,'0','GALAXY','STARFORMING'
'266','51630','71','26','299508918898419712',146.85967,-0.098939,14.89,0.125392,1e-05,'0','GALAXY','STARFORMING'
'266','51630','72','26','299509193776326656',146.85676,-0.27404,7.33,0.021965,6e-06,'0','GALAXY','STARBURST'
'266','51630','73','26','299509468654233600',146.76078,0.015978,14.67,0.124902,2.1e-05,'0','GALAXY',''
'266','51630','74','26','299509743532140544',146.90232,-0.313662,10.67,0.13142,4.7e-05,'0','GALAXY',''
'266','51630','75','26','299510018410047488',146.77711,-0.241987,10.34,0.130819,2.7e-05,'0','GALAXY',''
'266','51630','76','26','299510293287954432',146.89733,-0.186368,5.27,0.370904,0.000127,'0','GALAXY',''
'266','51630','77','26','299510568165861376',146.80914,0.026384,22.56,0.12603,3.1e-05,'0','GALAXY',''
'266','51630','78','26','299510843043768320',146.75599,-0.168212,5.68,0.06245,4.6e-05,'0','GALAXY',''
'266','51630','79','26','299511117921675264',146.81199,-0.190046,30.08,0.062151,1.8e-05,'0','GALAXY','BROADLINE'
'266','51630','81','26','299511667677489152',146.11835,-0.868146,14.57,0.127676,1.1e-05,'0','GALAXY','STARFORMING'
'266','51630','83','26','299512217433303040',146.09369,-0.793088,39.11,0.067585,1.3e-05,'0','GALAXY','BROADLINE'
'266','51630','84','26','299512492311209984',146.09344,-1.008167,21.02,0.065891,2.3e-05,'0','GALAXY',''
'266','51630','86','26','299513042067023872',146.12796,-1.189771,13.99,0.140728,3.3e-05,'0','GALAXY',''
'266','51630','87','26','299513316944930816',146.23485,-1.152769,16.08,0.067414,5e-06,'0','GALAXY','STARBURST'
'266','51630','89','26','299513866700744704',146.07916,-1.158027,9.5,0.35079,8.2e-05,'0','GALAXY',''
'266','51630','90','26','299514141578651648',146.14358,-0.741641,20.11,0.203822,3.2e-05,'0','GALAXY',''
'266','51630','91','26','299514416456558592',146.01189,-0.975229,7.23,0.374055,8.6e-05,'0','GALAXY',''
'266','51630','93','26','299514966212372480',146.24259,-0.762618,4.24,0.300229,9e-06,'0','GALAXY','STARBURST'
'266','51630','94','26','299515241090279424',146.07944,-0.68096,30.3,0.067273,2.3e-05,'0','GALAXY',''
'266','51630','96','26','299515790846093312',146.26033,-0.940792,5.19,0.384653,0.000114,'0','GALAXY',''
'266','51630','97','26','299516065724000256',146.13557,-0.682191,16.1,0.203841,3.5e-05,'0','GALAXY',''
'266','51630','99','26','299516615479814144',146.19262,-0.688401,10.13,0.00408,5e-06,'0','GALAXY','STARBURST'
'266','51630','100','26','299516890357721088',146.00779,-0.642272,21.47,0.004776,7e-06,'16','GALAXY','STARBURST'
'266','51630','102','26','299517440113534976',146.57562,-0.291274,10.82,0.12641,3.6e-05,'0','GALAXY',''
'266','51630','103','26','299517714991441920',146.59449,-0.133174,7.3,0.045652,1.6e-05,'0','GALAXY','STARFORMING'
